,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforce-ments",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,0 / 1,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,052,16,24,185,31,11.63,SolarEdge,1,0,,0,0,0,A1,67.8,40,43,3,0,Asphalt Shingles,Flashfoot 2,2,2,3,19:39:00,1,2,3,29:28:30,49:07:30,,5,,,,,,
,054,25,20,175,12,4.38,Enphase,1,1,,0,0,1,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,0,1,3,16:40:00,1,2,3,25:00:00,41:40:00,,5,,,,,,
,055,42,22,180,14,4.97,Enphase,1,1,,0,0,0,C2,67.8,40,43,2,0,Asphalt Shingles,Flashfoot 2,2,2,3,17:10:00,1,2,3,25:45:00,42:55:00,,5,,,,,,
,056,33,37,180,14,5.18,SolarEdge,1,0,,0,0,0,C*,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,3,15:30:00,1,2,3,23:15:00,38:45:00,,5,,,,,,
,057,43,30,180,28,12.60,SolarEdge,Ground Mount,0,,2,0,0,B1,82.79,40.94,55.12,1,0,Ground Mount,Ground Mount,0,0,3,64:00:00,3,3,3,64:00:00,128:00:00,,6,,,,,,
,058,12,32,170,17,6.46,Enphase,1,0,,0,0,1,A2,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,3,23:15:00,1,3,3,23:15:00,46:30:00,,6,,,,,,
,060,12,24,135,16,5.92,Enphase,1,1,,0,0,0,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,2,3,22:30:00,1,3,3,22:30:00,45:00:00,,6,,,,,,
,061,22,38,180,18,6.66,Enphase,1,0,,1,1,1,B2,70.67,39.98,41.9,1,22,Asphalt Shingles,Flashfoot 2,0,2,3,30:45:00,1,3,3,30:45:00,61:30:00,,6,,,,,,
,062,37,20,245,21,7.77,SolarEdge,1,0,,0,0,0,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,2,0,23:15:00,2,3,3,23:15:00,46:30:00,,6,,,,,,
,063,23,,,22,8.03,SolarEdge,1,1,,1,1,1,A1,67.8,40,43,1,14,Asphalt Shingles,Flashfoot 2,0,2,3,30:30:00,2,2,3,45:45:00,76:15:00,,5,,,,,,
,064,22,30,230,16,6.08,SolarEdge,1,1,,1,1,1,A1,70.67,39.98,41.9,2,2,Asphalt Shingles,Flashfoot 2,0,2,3,27:40:00,2,2,3,41:30:00,69:10:00,,5,,,,,,
,065,26,18,270,13,4.81,Enphase,1,0,,0,0,1,A2,70.67,39.98,41.9,1,0,Asphalt Shingles,Unk0wn,0,2,3,30:30:00,2,3,3,30:30:00,61:00:00,,6,,,,,,
,066,24,30,135,19,7.03,Enphase,1,0,,0,0,1,A1,67.8,40,43,4,0,Asphalt Shingles,Flashfoot 2,2,2,3,27:00:00,1,3,3,27:00:00,54:00:00,,6,,,,,,
,067,40,31,180,20,7.60,Enphase,1,0,,0,0,0,A1,68.5,41.02,40.8,1,0,Asphalt Shingles,Flashfoot 2,0,1,3,25:30:00,1,3,3,25:30:00,51:00:00,,6,,,,,,
,068,24,16,180,12,4.38,Enphase,1,1,,1,1,0,A1,69.37,40.91,44.09,1,7,Asphalt Shingles,Flashfoot 2,0,2,0,29:25:00,2,3,3,29:25:00,58:50:00,,6,,,,,,
,069,27,22.6,90/180/270,21,7.77,Enphase,1,0,,0,0,1,A1,70.67,39.98,41.9,4,0,Asphalt Shingles,Flashfoot 2,0,2,3,27:00:00,2,3,3,27:00:00,54:00:00,,6,Installed a car charger,,,,,
,070,32,18,180,36,13.32,Enphase,1,0,,0,0,0,A1,70.67,39.98,41.9,1,0,Ag Metal,Ejot,1,2,0,56:15:00,3,3,3,56:15:00,112:30:00,,6,,,,,,
,071,30,21,180,17,5.61,SolarEdge,1,0,,0,0,0,A1,66.53,39.21,39.7,2,0,Asphalt Shingles,Flashfoot 2,2,2,3,23:25:00,2,3,3,23:25:00,46:50:00,,6,,,,,,
,072,14,26,200,16,5.52,SolarEdge,1,1,,0,0,1,A1,68.8,41.5,44.8,2,0,Asphalt Shingles,Flashfoot 2,0,1,3,33:00:00,3,3,3,33:00:00,66:00:00,,6,,,,,,
,073,26,32,180,14,5.32,Enphase,1,0,,0,0,0,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Unk0wn,0,1,3,24:30:00,1,3,3,24:30:00,49:00:00,,6,,,,,,
,074,15,22.6,180,19,7.22,SolarEdge,1,1,,0,0,0,A2,70.67,39.98,41.9,1,0,Asphalt Shingles,Unk0wn,0,1,0,20:15:00,1,3,3,20:15:00,40:30:00,,6,,,,,,
,075,3,24,200,4,1.52,Enphase,1,0,,0,0,1,A1,70.67,39.98,41.9,1,0,Asphalt Shingles,Flashfoot 2,0,1,0,20:45:00,1,3,1,6:55:00,27:40:00,,4,,,,,,
,076,28,30,210,36,13.32,Enphase,1,1,,0,0,1,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,0,2,0,39:00:00,2,2,3,58:30:00,97:30:00,,5,,,,,,
,077,39,30,180,14,5.95,SolarEdge,Ground Mount,0,,2,0,0,A1,81.9,40.6,55.1,1,0,Ground Mount,Ground Mount,0,0,1,36:25:00,2,3,2,24:16:40,60:41:40,,5,,,,,,
,078,25,,140,18,6.66,Enphase,1,1,,0,0,1,B1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,0,1,2,15:30:00,1,2,2,15:30:00,31:00:00,,4,,,,,,
,079,10,26,260/80,28,11.20,Enphase,1,1,,0,0,0,B1,71.7,40,45,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,35:15:00,2,2,2,35:15:00,70:30:00,,4,,,,,,
,080,27,,,29,10.73,Enphase,1,1,,1,0,1,A*,67.8,40,43,4,0,Asphalt Shingles,Flashfoot 2,0,1,1,36:15:00,4,2,2,36:15:00,72:30:00,,4,,,,,,
,084,44,17,180,15,5.55,Enphase,1,1,,0,0,0,A1,67.8,40,43,1,0,Asphalt Shingles,Flashfoot 2,1,1,1,38:05:00,5,3,2,25:23:20,63:28:20,,5,Time data looks wrong to me,,,,,
,085,25,37,155,28,10.36,SolarEdge,1,1,,4,0,1,A1,67.8,40,43,1,0,Asphalt Shingles,RT Mini,0,1,1,22:05:00,2,1,2,44:10:00,66:15:00,,3,,,,,,
,087,7,18,270/180/90,9,3.42,Enphase,1,1,,1,0,1,A1,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,0,1,1,24:45:00,2,2,2,24:45:00,49:30:00,,4,,,,,,
,089,13,26.6,115,24,9.12,Enphase,1,1,,0,0,1,A2,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,1:30:00,1,1,2,3:00:00,4:30:00,,3,time data looks wrong to me,,,,,
,090,27,26,270/90,11,4.07,SolarEdge,1,0,,0,0,1,A1,69.4,40.8,43,2,0,Asphalt Shingles,Flashfoot 2,0,1,1,14:55:00,2,2,2,14:55:00,29:50:00,,4,,,,,,
