,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Project ID,Drive Time,Tilt,Azimuth,Panel QTY,System Rating (kW DC),Inverter Manufacturer,Array Type,Squirrel Screen,Consumption Monitoring,Truss / Rafter,"Reinforcements",Rough Electrical Inspection,Interconnection Type,Module Length,Module Width,Module Weight,# of Arrays,# of reinforcement,Roof Type,Attachment Type,Portrait / Landscape,# of Stories,Install Season,Total Direct Time for Project for Hourly Employees (Including Drive Time),Total # of Days on Site,Total # Hourly Empoyees on Site,Estimated # of Salaried Employees on Site,Estimated Salary Hours,Estimated Total Direct Time,,Estimated Total # of People on Site,Notes,,,,,
,087,7 mins,18°,270°/180°/90°,9,3.42,Enphase,Roof Mount,Yes,,Rafter,No,Yes,A1,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,24:45:00,2,2,2,24:45:00,49:30:00,,4,,,,,,
,089,13 mins,26.6°,115°,24,9.12,Enphase,Roof Mount,Yes,,Truss,No,Yes,A2,70.67,39.98,41.9,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,1:30:00,1,1,2,3:00:00,4:30:00,,3,time data looks wrong to me,,,,,
,090,27 mins,26°,270°/90°,11,4.07,SolarEdge,Roof Mount,No,,Truss,No,Yes,A1,69.4,40.8,43,2,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,14:55:00,2,2,2,14:55:00,29:50:00,,4,,,,,,
,091,25 mins,14°/18°,180°/270°,21,7.98,Enphase,Roof Mount,No,,Truss,No,No,A3,70.67,39.98,41.9,3,0,Asphalt Shingles,Flashfoot 2,Both,1,Spring,10:30:00,1,1,2,21:00:00,31:30:00,,3,,,,,,
,092,34 mins,18°,180°,10,3.70,SolarEdge,Roof Mount,No,,Truss,No,No,C*,69.13,40.91,45.19,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,10:00:00,1,1,2,20:00:00,30:00:00,,3,,,,,,
,093,48 mins,18°,145°,14,5.60,Enphase,Roof Mount,No,,Purlin,No,No,A2,71.7,40,45,1,0,Ag Metal,Ejot,Portrait,2,Spring,21:36:00,1,3,2,14:24:00,36:00:00,,5,,,,,,
,094,14 mins,26°,180°,16,6.40,Enphase,Roof Mount,Yes,,Truss,No,Yes,A1,71.7,40,45,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,29:55:00,3,3,2,19:56:40,49:51:40,,5,,,,,,
,095,1 hour 32 mins,18°,135°,20,9.00,SolarEdge,Roof Mount,No,,Purlin,No,No,A*,82.79,40.94,55.12,1,0,Ag Metal,Ejot,Landscape,1,Spring,18:30:00,1,2,2,18:30:00,37:00:00,,4,,,,,,
,096,21 mins,30°,90°/180°/270°,56,20.72,SolarEdge,Roof Mount,Yes,,Truss,No,No,A*,67.8,40,43,7,0,Asphalt Shingles,Flashfoot 2,Portrait,2,Spring,43:48:00,5,1,2,87:36:00,131:24:00,,3,,,,,,
,104,21 mins,30°,175°,24,8.88,Enphase,Roof Mount,No,,Truss,No,No,A1,68.5,41.01,41.02,1,0,Asphalt Shingles,Flashfoot 2,Portrait,1,Spring,18:15:00,1,2,2,18:15:00,36:30:00,,4,,,,,,
